global_prompt_index,source_file,class_index,class_name,prompt_index,clip_token_count_with_special,clip_content_token_count,raw_prompt_text,encoded_prompt_text,clip_token_ids_nonzero
129,ucf_manual_class_prompts_10x.json,12,Stealing,9,11,9,a thief carrying stolen property away without confrontation,stealing a thief carrying stolen property away without confrontation,49406 14242 320 18508 9920 8704 5043 1520 2193 41478 49407
130,ucf_manual_class_prompts_10x.json,13,Vandalism,0,13,11,a person damaging property by smashing a window or door,vandalism a person damaging property by smashing a window or door,49406 45664 320 2533 20610 5043 638 19632 320 4879 541 2489 49407
131,ucf_manual_class_prompts_10x.json,13,Vandalism,1,12,10,someone kicking or striking an object until it breaks,vandalism someone kicking or striking an object until it breaks,49406 45664 2100 7802 541 13392 550 14115 1942 585 7263 49407
132,ucf_manual_class_prompts_10x.json,13,Vandalism,2,12,10,a suspect spraying graffiti on a wall or vehicle,vandalism a suspect spraying graffiti on a wall or vehicle,49406 45664 320 9065 39224 11676 525 320 2569 541 5299 49407
133,ucf_manual_class_prompts_10x.json,13,Vandalism,3,11,9,a person breaking glass with repeated tool impacts,vandalism a person breaking glass with repeated tool impacts,49406 45664 320 2533 2755 3313 593 27904 5999 15069 49407
134,ucf_manual_class_prompts_10x.json,13,Vandalism,4,15,13,a vandal throwing an object at a storefront or car,vandalism a vandal throwing an object at a storefront or car,49406 45664 320 11691 566 9734 550 14115 536 320 17769 2184 541 1615 49407
135,ucf_manual_class_prompts_10x.json,13,Vandalism,5,14,12,"deliberate destruction of signs, windows, equipment, or furniture","vandalism deliberate destruction of signs, windows, equipment, or furniture",49406 45664 38271 14281 539 4659 267 5437 267 6893 267 541 7993 49407
136,ucf_manual_class_prompts_10x.json,13,Vandalism,6,12,10,a person scratching and denting a parked vehicle,vandalism a person scratching and denting a parked vehicle,49406 45664 320 2533 44617 537 1177 694 320 16487 5299 49407
137,ucf_manual_class_prompts_10x.json,13,Vandalism,7,12,10,public property being defaced with paint or graffiti,vandalism public property being defaced with paint or graffiti,49406 45664 2122 5043 1265 561 10941 593 5185 541 11676 49407
138,ucf_manual_class_prompts_10x.json,13,Vandalism,8,12,10,a suspect repeatedly hitting a fixture until pieces break,vandalism a suspect repeatedly hitting a fixture until pieces break,49406 45664 320 9065 26630 7957 320 17317 1942 6194 2568 49407
139,ucf_manual_class_prompts_10x.json,13,Vandalism,9,13,11,"property damage happening without theft, fire, or confrontation","vandalism property damage happening without theft, fire, or confrontation",49406 45664 5043 6822 4284 2193 13286 267 1769 267 541 41478 49407
140,ucf_manual_class_prompts_10x_v2.json,0,Normal,0,11,9,pedestrians walking calmly along a quiet street,normal pedestrians walking calmly along a quiet street,49406 5967 33895 3941 34990 597 2528 320 7557 2012 49407
141,ucf_manual_class_prompts_10x_v2.json,0,Normal,1,11,9,people chatting casually in an ordinary public area,normal people chatting casually in an ordinary public area,49406 5967 1047 12401 18840 530 550 8012 2122 2445 49407
142,ucf_manual_class_prompts_10x_v2.json,0,Normal,2,10,8,vehicles moving normally through regular traffic flow,normal vehicles moving normally through regular traffic flow,49406 5967 8361 3584 15870 1417 6307 3399 5608 49407
143,ucf_manual_class_prompts_10x_v2.json,0,Normal,3,10,8,shoppers browsing shelves and paying at checkout,normal shoppers browsing shelves and paying at checkout,49406 5967 22316 29318 16225 537 8341 536 13101 49407
144,ucf_manual_class_prompts_10x_v2.json,0,Normal,4,11,9,workers performing routine tasks in a calm store,normal workers performing routine tasks in a calm store,49406 5967 4795 5170 12319 19453 530 320 7011 2183 49407
145,ucf_manual_class_prompts_10x_v2.json,0,Normal,5,11,9,pedestrians crossing a walkway with regular spacing,normal pedestrians crossing a walkway with regular spacing,49406 5967 33895 8673 320 36614 593 6307 588 9442 49407
146,ucf_manual_class_prompts_10x_v2.json,0,Normal,6,12,10,people entering and exiting buildings at a steady pace,normal people entering and exiting buildings at a steady pace,49406 5967 1047 12580 537 39577 8866 536 320 12937 9450 49407
147,ucf_manual_class_prompts_10x_v2.json,0,Normal,7,11,9,a public area with ordinary walking and waiting,normal a public area with ordinary walking and waiting,49406 5967 320 2122 2445 593 8012 3941 537 2680 49407
148,ucf_manual_class_prompts_10x_v2.json,0,Normal,8,12,10,people standing calmly near counters and doorways,normal people standing calmly near counters and doorways,49406 5967 1047 2862 34990 597 2252 46170 537 7188 1248 49407
149,ucf_manual_class_prompts_10x_v2.json,0,Normal,9,10,8,an orderly scene with predictable everyday activity,normal an orderly scene with predictable everyday activity,49406 5967 550 43457 3562 593 25344 5160 6206 49407
150,ucf_manual_class_prompts_10x_v2.json,1,Abuse,0,14,12,a surveillance frame of an aggressor striking a vulnerable victim,abuse a surveillance frame of an aggressor striking a vulnerable victim,49406 7678 320 15578 6481 539 550 10426 35152 13392 320 14332 9133 49407
151,ucf_manual_class_prompts_10x_v2.json,1,Abuse,1,13,11,a person forcefully pushing a helpless victim against furniture,abuse a person forcefully pushing a helpless victim against furniture,49406 7678 320 2533 12068 2401 11549 320 47638 9133 1601 7993 49407
152,ucf_manual_class_prompts_10x_v2.json,1,Abuse,2,12,10,a dominant person grabbing and controlling a weaker victim,abuse a dominant person grabbing and controlling a weaker victim,49406 7678 320 20565 2533 26440 537 26427 320 39735 9133 49407
153,ucf_manual_class_prompts_10x_v2.json,1,Abuse,3,15,13,a victim shielding their body from repeated physical mistreatment,abuse a victim shielding their body from repeated physical mistreatment,49406 7678 320 9133 823 28223 911 1774 633 27904 6671 42039 527 777 49407
154,ucf_manual_class_prompts_10x_v2.json,1,Abuse,4,13,11,an attacker cornering someone and delivering forceful blows,abuse an attacker cornering someone and delivering forceful blows,49406 7678 550 39288 5202 1785 2100 537 9943 12068 857 21063 49407
155,ucf_manual_class_prompts_10x_v2.json,1,Abuse,5,12,10,a person dragging a resisting victim across the floor,abuse a person dragging a resisting victim across the floor,49406 7678 320 2533 37069 320 43679 9133 2500 518 4125 49407
156,ucf_manual_class_prompts_10x_v2.json,1,Abuse,6,12,10,a vulnerable person recoiling from sustained aggressive contact,abuse a vulnerable person recoiling from sustained aggressive contact,49406 7678 320 14332 2533 2535 3299 633 22699 16295 3523 49407
157,ucf_manual_class_prompts_10x_v2.json,1,Abuse,7,13,11,a stronger aggressor overpowering a weaker person indoors,abuse a stronger aggressor overpowering a weaker person indoors,49406 7678 320 9245 10426 35152 1658 16231 320 39735 2533 22973 49407
158,ucf_manual_class_prompts_10x_v2.json,1,Abuse,8,13,11,a victim collapsing after repeated blows from another person,abuse a victim collapsing after repeated blows from another person,49406 7678 320 9133 16881 1197 953 27904 21063 633 1380 2533 49407
159,ucf_manual_class_prompts_10x_v2.json,1,Abuse,9,14,12,a hostile person hurting a defenseless target at close range,abuse a hostile person hurting a defenseless target at close range,49406 7678 320 28074 2533 24017 320 45875 1285 5400 536 2660 3818 49407
160,ucf_manual_class_prompts_10x_v2.json,2,Arrest,0,13,11,uniformed police placing handcuffs on a detained suspect,arrest uniformed police placing handcuffs on a detained suspect,49406 9320 1107 6528 2120 18531 1722 37221 525 320 20260 9065 49407
161,ucf_manual_class_prompts_10x_v2.json,2,Arrest,1,15,13,officers escorting a handcuffed person toward a patrol car,arrest officers escorting a handcuffed person toward a patrol car,49406 9320 6335 24360 694 320 1722 729 8448 2533 8508 320 10073 1615 49407
162,ucf_manual_class_prompts_10x_v2.json,2,Arrest,2,12,10,law enforcement surrounding a suspect beside a police vehicle,arrest law enforcement surrounding a suspect beside a police vehicle,49406 9320 2606 12460 12544 320 9065 13519 320 2120 5299 49407
163,ucf_manual_class_prompts_10x_v2.json,2,Arrest,3,13,11,a detained suspect kneeling while officers secure handcuffs,arrest a detained suspect kneeling while officers secure handcuffs,49406 9320 320 20260 9065 6358 9990 1519 6335 7515 1722 37221 49407
164,ucf_manual_class_prompts_10x_v2.json,2,Arrest,4,12,10,police guiding a restrained person during formal detention,arrest police guiding a restrained person during formal detention,49406 9320 2120 22759 320 25424 2038 2533 1590 12978 16908 49407
165,ucf_manual_class_prompts_10x_v2.json,2,Arrest,5,13,11,uniformed officers searching a suspect beside a patrol car,arrest uniformed officers searching a suspect beside a patrol car,49406 9320 1107 6528 6335 10626 320 9065 13519 320 10073 1615 49407
166,ucf_manual_class_prompts_10x_v2.json,2,Arrest,6,13,11,a handcuffed suspect standing between multiple police officers,arrest a handcuffed suspect standing between multiple police officers,49406 9320 320 1722 729 8448 9065 2862 1957 6470 2120 6335 49407
167,ucf_manual_class_prompts_10x_v2.json,2,Arrest,7,12,10,officers controlling a detainee during a roadside arrest,arrest officers controlling a detainee during a roadside arrest,49406 9320 6335 26427 320 1914 7986 1590 320 26928 9320 49407
168,ucf_manual_class_prompts_10x_v2.json,2,Arrest,8,12,10,a patrol team moving a suspect into police custody,arrest a patrol team moving a suspect into police custody,49406 9320 320 10073 1027 3584 320 9065 1095 2120 16176 49407
169,ucf_manual_class_prompts_10x_v2.json,2,Arrest,9,13,11,law enforcement securing wrists of a compliant detained person,arrest law enforcement securing wrists of a compliant detained person,49406 9320 2606 12460 24759 7667 1088 539 320 29893 20260 2533 49407
170,ucf_manual_class_prompts_10x_v2.json,3,Arson,0,13,11,a person deliberately igniting material near a property entrance,arson a person deliberately igniting material near a property entrance,49406 29937 320 2533 35163 7303 1257 7118 2252 320 5043 9129 49407
171,ucf_manual_class_prompts_10x_v2.json,3,Arson,1,14,12,a suspicious individual using a lighter on a flammable surface,arson a suspicious individual using a lighter on a flammable surface,49406 29937 320 19862 8512 1996 320 14102 525 320 10559 23001 7744 49407
172,ucf_manual_class_prompts_10x_v2.json,3,Arson,2,11,9,a small flame spreading gradually after human ignition,arson a small flame spreading gradually after human ignition,49406 29937 320 2442 13484 11821 32192 953 2751 36115 49407
173,ucf_manual_class_prompts_10x_v2.json,3,Arson,3,12,10,a person pouring accelerant before fire begins growing,arson a person pouring accelerant before fire begins growing,49406 29937 320 2533 16098 10161 773 1348 1769 4635 4425 49407
174,ucf_manual_class_prompts_10x_v2.json,3,Arson,4,12,10,deliberate fire starting near property without an explosive blast,arson deliberate fire starting near property without an explosive blast,49406 29937 38271 1769 2530 2252 5043 2193 550 18888 5964 49407
175,ucf_manual_class_prompts_10x_v2.json,3,Arson,5,14,12,a person crouching near combustible material before flames appear,arson a person crouching near combustible material before flames appear,49406 29937 320 2533 31206 1439 2252 35629 25835 7118 1348 13441 9308 49407
176,ucf_manual_class_prompts_10x_v2.json,3,Arson,6,12,10,a slow fire growing after someone lights an object,arson a slow fire growing after someone lights an object,49406 29937 320 5444 1769 4425 953 2100 3073 550 14115 49407
177,ucf_manual_class_prompts_10x_v2.json,3,Arson,7,12,10,a suspicious person leaving as a small fire spreads,arson a suspicious person leaving as a small fire spreads,49406 29937 320 19862 2533 5216 601 320 2442 1769 27579 49407
178,ucf_manual_class_prompts_10x_v2.json,3,Arson,8,13,11,visible accelerant or lighter use before property begins burning,arson visible accelerant or lighter use before property begins burning,49406 29937 8626 10161 773 541 14102 1483 1348 5043 4635 8405 49407
179,ucf_manual_class_prompts_10x_v2.json,3,Arson,9,11,9,human ignition causing flames to spread across property,arson human ignition causing flames to spread across property,49406 29937 2751 36115 10779 13441 531 5284 2500 5043 49407
180,ucf_manual_class_prompts_10x_v2.json,4,Assault,0,15,13,an attacker lunging toward a victim with a forceful strike,assault an attacker lunging toward a victim with a forceful strike,49406 9679 550 39288 3221 3905 8508 320 9133 593 320 12068 857 5767 49407
181,ucf_manual_class_prompts_10x_v2.json,4,Assault,1,14,12,"a close range attack with punches, kicks, and defense","assault a close range attack with punches, kicks, and defense",49406 9679 320 2660 3818 3815 593 35279 267 6989 267 537 6021 49407
182,ucf_manual_class_prompts_10x_v2.json,4,Assault,2,13,11,a victim shielding their face during a rapid attack,assault a victim shielding their face during a rapid attack,49406 9679 320 9133 823 28223 911 1710 1590 320 12205 3815 49407
183,ucf_manual_class_prompts_10x_v2.json,4,Assault,3,12,10,an aggressor swinging arms repeatedly at another person,assault an aggressor swinging arms repeatedly at another person,49406 9679 550 10426 35152 26760 5706 26630 536 1380 2533 49407
184,ucf_manual_class_prompts_10x_v2.json,4,Assault,4,14,12,a person punching a victim during a one-sided confrontation,assault a person punching a victim during a one-sided confrontation,49406 9679 320 2533 33468 320 9133 1590 320 637 268 21061 41478 49407
185,ucf_manual_class_prompts_10x_v2.json,4,Assault,5,12,10,an attacker kicking a fallen victim on the ground,assault an attacker kicking a fallen victim on the ground,49406 9679 550 39288 7802 320 8688 9133 525 518 2461 49407
186,ucf_manual_class_prompts_10x_v2.json,4,Assault,6,13,11,a victim stumbling backward after a direct body hit,assault a victim stumbling backward after a direct body hit,49406 9679 320 9133 16784 1358 37964 953 320 6016 1774 2341 49407
187,ucf_manual_class_prompts_10x_v2.json,4,Assault,7,13,11,an aggressor pursuing a target while continuing to strike,assault an aggressor pursuing a target while continuing to strike,49406 9679 550 10426 35152 26424 320 5400 1519 11009 531 5767 49407
188,ucf_manual_class_prompts_10x_v2.json,4,Assault,8,14,12,a person shoving an opponent hard enough to lose balance,assault a person shoving an opponent hard enough to lose balance,49406 9679 320 2533 719 903 550 17002 1626 2744 531 5354 6827 49407
189,ucf_manual_class_prompts_10x_v2.json,4,Assault,9,12,10,a victim recoiling from repeated close range hits,assault a victim recoiling from repeated close range hits,49406 9679 320 9133 2535 3299 633 27904 2660 3818 4712 49407
190,ucf_manual_class_prompts_10x_v2.json,5,Burglary,0,13,11,a surveillance frame of an intruder forcing a doorway,burglary a surveillance frame of an intruder forcing a doorway,49406 32573 320 15578 6481 539 550 22949 801 21573 320 46575 49407
191,ucf_manual_class_prompts_10x_v2.json,5,Burglary,1,14,12,a person prying a lock to enter a restricted room,burglary a person prying a lock to enter a restricted room,49406 32573 320 2533 766 910 320 4381 531 3819 320 27197 1530 49407
192,ucf_manual_class_prompts_10x_v2.json,5,Burglary,2,13,11,a masked intruder breaking a barrier into private property,burglary a masked intruder breaking a barrier into private property,49406 32573 320 25757 22949 801 2755 320 15706 1095 4439 5043 49407
193,ucf_manual_class_prompts_10x_v2.json,5,Burglary,3,13,11,a suspect searching drawers and shelves after unauthorized entry,burglary a suspect searching drawers and shelves after unauthorized entry,49406 32573 320 9065 10626 38975 537 16225 953 569 28463 5362 49407
194,ucf_manual_class_prompts_10x_v2.json,5,Burglary,4,12,10,an intruder exiting through a damaged entry point,burglary an intruder exiting through a damaged entry point,49406 32573 550 22949 801 39577 1417 320 13568 5362 2301 49407
195,ucf_manual_class_prompts_10x_v2.json,5,Burglary,5,12,10,a person climbing through a window into closed property,burglary a person climbing through a window into closed property,49406 32573 320 2533 9877 1417 320 4879 1095 4552 5043 49407
196,ucf_manual_class_prompts_10x_v2.json,5,Burglary,6,12,10,a suspicious person slipping inside after a doorway opens,burglary a suspicious person slipping inside after a doorway opens,49406 32573 320 19862 2533 36301 2912 953 320 46575 4801 49407
197,ucf_manual_class_prompts_10x_v2.json,5,Burglary,7,13,11,a burglar moving quietly through a room collecting valuables,burglary a burglar moving quietly through a room collecting valuables,49406 32573 320 43365 3584 22208 1417 320 1530 10325 6291 8486 49407
198,ucf_manual_class_prompts_10x_v2.json,5,Burglary,8,13,11,a person damaging a lock to access an interior space,burglary a person damaging a lock to access an interior space,49406 32573 320 2533 20610 320 4381 531 3822 550 7305 2138 49407
199,ucf_manual_class_prompts_10x_v2.json,5,Burglary,9,13,11,an intruder exiting a building with bags or electronics,burglary an intruder exiting a building with bags or electronics,49406 32573 550 22949 801 39577 320 2307 593 6136 541 13081 49407
200,ucf_manual_class_prompts_10x_v2.json,6,Explosion,0,12,10,an instant blast wave with fireball and flying fragments,explosion an instant blast wave with fireball and flying fragments,49406 13785 550 10635 5964 4535 593 40543 537 4610 41424 49407
201,ucf_manual_class_prompts_10x_v2.json,6,Explosion,1,14,12,a sudden detonation producing shockwave and expanding smoke plume,explosion a sudden detonation producing shockwave and expanding smoke plume,49406 13785 320 15433 39335 656 13579 19617 4535 537 15755 6664 39495 49407
202,ucf_manual_class_prompts_10x_v2.json,6,Explosion,2,12,10,a bright flash followed by rapid explosive pressure burst,explosion a bright flash followed by rapid explosive pressure burst,49406 13785 320 4852 5815 6499 638 12205 18888 6083 13005 49407
203,ucf_manual_class_prompts_10x_v2.json,6,Explosion,3,14,12,an object erupting violently with an outward debris cloud,explosion an object erupting violently with an outward debris cloud,49406 13785 550 14115 17093 694 47758 593 550 34650 746 19208 3887 49407
204,ucf_manual_class_prompts_10x_v2.json,6,Explosion,4,12,10,a large fireball appearing immediately after explosive detonation,explosion a large fireball appearing immediately after explosive detonation,49406 13785 320 3638 40543 18759 10108 953 18888 39335 656 49407
205,ucf_manual_class_prompts_10x_v2.json,6,Explosion,5,13,11,a shockwave pushing smoke and fragments away from impact,explosion a shockwave pushing smoke and fragments away from impact,49406 13785 320 19617 4535 11549 6664 537 41424 1520 633 3844 49407
206,ucf_manual_class_prompts_10x_v2.json,6,Explosion,6,13,11,a violent pressure burst scattering debris in every direction,explosion a violent pressure burst scattering debris in every direction,49406 13785 320 11565 6083 13005 13899 7929 19208 530 1505 5407 49407
207,ucf_manual_class_prompts_10x_v2.json,6,Explosion,7,13,11,a sudden explosive plume rising from a detonation point,explosion a sudden explosive plume rising from a detonation point,49406 13785 320 15433 18888 39495 5448 633 320 39335 656 2301 49407
208,ucf_manual_class_prompts_10x_v2.json,6,Explosion,8,15,13,"a rapid blast creating flash, shockwave, and airborne debris","explosion a rapid blast creating flash, shockwave, and airborne debris",49406 13785 320 12205 5964 5524 5815 267 19617 4535 267 537 22755 19208 49407
209,ucf_manual_class_prompts_10x_v2.json,6,Explosion,9,12,10,a concentrated detonation expanding outward within seconds,explosion a concentrated detonation expanding outward within seconds,49406 13785 320 36776 39335 656 15755 34650 746 4154 6541 49407
210,ucf_manual_class_prompts_10x_v2.json,7,Fighting,0,13,11,two groups mutually exchanging punches in a crowded brawl,fighting two groups mutually exchanging punches in a crowded brawl,49406 4652 1237 6776 17574 769 47760 35279 530 320 20182 26066 49407
211,ucf_manual_class_prompts_10x_v2.json,7,Fighting,1,11,9,several participants striking each other during mutual combat,fighting several participants striking each other during mutual combat,49406 4652 5560 10237 13392 2416 1010 1590 15055 9275 49407
212,ucf_manual_class_prompts_10x_v2.json,7,Fighting,2,13,11,opponents separating and reengaging repeatedly in a group fight,fighting opponents separating and reengaging repeatedly in a group fight,49406 4652 19664 43480 537 515 13060 26630 530 320 1771 2757 49407
213,ucf_manual_class_prompts_10x_v2.json,7,Fighting,3,12,10,multiple people wrestling and swinging arms at each other,fighting multiple people wrestling and swinging arms at each other,49406 4652 6470 1047 5904 537 26760 5706 536 2416 1010 49407
214,ucf_manual_class_prompts_10x_v2.json,7,Fighting,4,11,9,a crowd circling two sides fighting each other,fighting a crowd circling two sides fighting each other,49406 4652 320 4570 46036 1237 7578 4652 2416 1010 49407
215,ucf_manual_class_prompts_10x_v2.json,7,Fighting,5,14,12,"several combatants pushing, grappling, and striking simultaneously","fighting several combatants pushing, grappling, and striking simultaneously",49406 4652 5560 35083 1589 11549 267 30843 1358 267 537 13392 28575 49407
216,ucf_manual_class_prompts_10x_v2.json,7,Fighting,6,13,11,two sides clashing back and forth in public space,fighting two sides clashing back and forth in public space,49406 4652 1237 7578 940 1743 893 537 11932 530 2122 2138 49407
217,ucf_manual_class_prompts_10x_v2.json,7,Fighting,7,12,10,multiple participants falling and rejoining a chaotic brawl,fighting multiple participants falling and rejoining a chaotic brawl,49406 4652 6470 10237 7293 537 515 5118 320 33501 26066 49407
218,ucf_manual_class_prompts_10x_v2.json,7,Fighting,8,12,10,people on both sides trading blows in close quarters,fighting people on both sides trading blows in close quarters,49406 4652 1047 525 2212 7578 6520 21063 530 2660 10146 49407
219,ucf_manual_class_prompts_10x_v2.json,7,Fighting,9,12,10,a mutual street fight with several active combatants,fighting a mutual street fight with several active combatants,49406 4652 320 15055 2012 2757 593 5560 4046 35083 1589 49407
220,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,0,14,12,"a vehicle collision causing impact, debris, and disruption","roadAccidents a vehicle collision causing impact, debris, and disruption",49406 4370 22072 320 5299 15407 10779 3844 267 19208 267 537 19635 49407
221,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,1,14,12,a car striking a pedestrian or cyclist on the road,roadAccidents a car striking a pedestrian or cyclist on the road,49406 4370 22072 320 1615 13392 320 18256 541 20686 525 518 1759 49407
222,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,2,13,11,a motorbike sliding across a lane after a crash,roadAccidents a motorbike sliding across a lane after a crash,49406 4370 22072 320 33341 21468 2500 320 3980 953 320 5033 49407
223,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,3,14,12,vehicles swerving and colliding during a sudden accident,roadAccidents vehicles swerving and colliding during a sudden accident,49406 4370 22072 8361 30514 903 537 8262 796 1590 320 15433 6608 49407
224,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,4,14,12,a pedestrian knocked down by a vehicle near a crossing,roadAccidents a pedestrian knocked down by a vehicle near a crossing,49406 4370 22072 320 18256 15325 1136 638 320 5299 2252 320 8673 49407
225,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,5,12,10,a damaged vehicle stopped and blocking the roadway,roadAccidents a damaged vehicle stopped and blocking the roadway,49406 4370 22072 320 13568 5299 6015 537 12652 518 42744 49407
226,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,6,14,12,a rider thrown onto pavement after a high speed impact,roadAccidents a rider thrown onto pavement after a high speed impact,49406 4370 22072 320 9707 15079 3141 27669 953 320 1400 4163 3844 49407
227,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,7,14,12,a traffic accident with a vehicle spinning to a halt,roadAccidents a traffic accident with a vehicle spinning to a halt,49406 4370 22072 320 3399 6608 593 320 5299 13987 531 320 25640 49407
228,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,8,12,10,a car hitting an obstacle with sudden debris,roadAccidents a car hitting an obstacle with sudden debris,49406 4370 22072 320 1615 7957 550 29751 593 15433 19208 49407
229,ucf_manual_class_prompts_10x_v2.json,8,RoadAccidents,9,12,10,a motorbike rider falling during an intersection collision,roadAccidents a motorbike rider falling during an intersection collision,49406 4370 22072 320 33341 9707 7293 1590 550 19210 15407 49407
230,ucf_manual_class_prompts_10x_v2.json,9,Robbery,0,13,11,a threatening person forcing a victim to surrender valuables,robbery a threatening person forcing a victim to surrender valuables,49406 16393 320 16400 2533 21573 320 9133 531 20964 6291 8486 49407
231,ucf_manual_class_prompts_10x_v2.json,9,Robbery,1,15,13,an aggressor confronting someone and taking a purse or wallet,robbery an aggressor confronting someone and taking a purse or wallet,49406 16393 550 10426 35152 20033 694 2100 537 2019 320 16480 541 12154 49407
232,ucf_manual_class_prompts_10x_v2.json,9,Robbery,2,13,11,a victim handing over belongings under close range intimidation,robbery a victim handing over belongings under close range intimidation,49406 16393 320 9133 19196 962 16453 895 1798 2660 3818 49258 49407
233,ucf_manual_class_prompts_10x_v2.json,9,Robbery,3,11,9,a robber snatching property and escaping quickly,robbery a robber snatching property and escaping quickly,49406 16393 320 35545 18457 1439 5043 537 21767 7787 49407
234,ucf_manual_class_prompts_10x_v2.json,9,Robbery,4,11,9,a person threatening a clerk and demanding money,robbery a person threatening a clerk and demanding money,49406 16393 320 2533 16400 320 22230 537 17099 2327 49407
235,ucf_manual_class_prompts_10x_v2.json,9,Robbery,5,14,12,an attacker cornering a victim and seizing personal items,robbery an attacker cornering a victim and seizing personal items,49406 16393 550 39288 5202 1785 320 9133 537 567 17354 4121 6207 49407
236,ucf_manual_class_prompts_10x_v2.json,9,Robbery,6,13,11,a coerced handover of valuables during visible intimidation,robbery a coerced handover of valuables during visible intimidation,49406 16393 320 41198 2323 46922 539 6291 8486 1590 8626 49258 49407
237,ucf_manual_class_prompts_10x_v2.json,9,Robbery,7,13,11,a suspect taking valuables while the victim backs away,robbery a suspect taking valuables while the victim backs away,49406 16393 320 9065 2019 6291 8486 1519 518 9133 7562 1520 49407
238,ucf_manual_class_prompts_10x_v2.json,9,Robbery,8,13,11,a person brandishing a weapon to demand property,robbery a person brandishing a weapon to demand property,49406 16393 320 2533 3684 570 1743 320 10537 531 5650 5043 49407
239,ucf_manual_class_prompts_10x_v2.json,9,Robbery,9,13,11,a robber approaching a victim and leaving with belongings,robbery a robber approaching a victim and leaving with belongings,49406 16393 320 35545 12164 320 9133 537 5216 593 16453 895 49407
240,ucf_manual_class_prompts_10x_v2.json,10,Shooting,0,12,10,an armed person aiming a firearm and firing shots,shooting an armed person aiming a firearm and firing shots,49406 3992 550 8202 2533 21768 320 40311 537 15105 5342 49407
241,ucf_manual_class_prompts_10x_v2.json,10,Shooting,1,12,10,a gunman pointing a weapon as people scatter,shooting a gunman pointing a weapon as people scatter,49406 3992 320 32743 19233 320 10537 601 1047 13899 652 49407
242,ucf_manual_class_prompts_10x_v2.json,10,Shooting,2,13,11,a muzzle flash appearing as a shooter targets someone,shooting a muzzle flash appearing as a shooter targets someone,49406 3992 320 670 7873 5815 18759 601 320 13645 12468 2100 49407
243,ucf_manual_class_prompts_10x_v2.json,10,Shooting,3,12,10,a person firing a handgun and causing panic,shooting a person firing a handgun and causing panic,49406 3992 320 2533 15105 320 1722 3496 537 10779 14124 49407
244,ucf_manual_class_prompts_10x_v2.json,10,Shooting,4,12,10,an armed attacker discharging a weapon in public,shooting an armed attacker discharging a weapon in public,49406 3992 550 8202 39288 22671 3905 320 10537 530 2122 49407
245,ucf_manual_class_prompts_10x_v2.json,10,Shooting,5,12,10,a victim falling after a nearby firearm is fired,shooting a victim falling after a nearby firearm is fired,49406 3992 320 9133 7293 953 320 13314 40311 533 8846 49407
246,ucf_manual_class_prompts_10x_v2.json,10,Shooting,6,12,10,a shooter raising a gun while a crowd runs,shooting a shooter raising a gun while a crowd runs,49406 3992 320 13645 6883 320 3496 1519 320 4570 5586 49407
247,ucf_manual_class_prompts_10x_v2.json,10,Shooting,7,14,12,a gunfire scene with fear and rapid dispersal,shooting a gunfire scene with fear and rapid dispersal,49406 3992 320 2748 1769 3562 593 5402 537 12205 11073 4840 566 49407
248,ucf_manual_class_prompts_10x_v2.json,10,Shooting,8,14,12,a person aiming a rifle or handgun at a target,shooting a person aiming a rifle or handgun at a target,49406 3992 320 2533 21768 320 15354 541 1722 3496 536 320 5400 49407
249,ucf_manual_class_prompts_10x_v2.json,10,Shooting,9,12,10,an armed shooter firing as people flee the scene,shooting an armed shooter firing as people flee the scene,49406 3992 550 8202 13645 15105 601 1047 30167 518 3562 49407
250,ucf_manual_class_prompts_10x_v2.json,11,Shoplifting,0,14,12,a shopper concealing merchandise inside clothing or a bag,shoplifting a shopper concealing merchandise inside clothing or a bag,49406 5738 10857 320 24346 9145 5169 16808 2912 7425 541 320 3365 49407
251,ucf_manual_class_prompts_10x_v2.json,11,Shoplifting,1,12,10,a person removing a store item without checkout,shoplifting a person removing a store item without checkout,49406 5738 10857 320 2533 18504 320 2183 8532 2193 13101 49407
252,ucf_manual_class_prompts_10x_v2.json,11,Shoplifting,2,13,11,a customer hiding a product and exiting an aisle,shoplifting a customer hiding a product and exiting an aisle,49406 5738 10857 320 5102 11371 320 4306 537 39577 550 26917 49407
253,ucf_manual_class_prompts_10x_v2.json,11,Shoplifting,3,13,11,a shopper slipping goods into a bag while browsing,shoplifting a shopper slipping goods into a bag while browsing,49406 5738 10857 320 24346 36301 9340 1095 320 3365 1519 29318 49407
254,ucf_manual_class_prompts_10x_v2.json,11,Shoplifting,4,12,10,a person scanning surroundings before pocketing merchandise,shoplifting a person scanning surroundings before pocketing merchandise,49406 5738 10857 320 2533 24092 26915 1348 13232 15951 16808 49407
